Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Senco Gold,329.2,1.46%,324.45,"4,66,200","5,311.80",24.98,39.24,615.5,227.4,-5.69%,-0.24%,-44.62%,62.45%,62.45%,2.7,0.31%,16.76%,15.84%,26.35,352.47,358.35,45.95,50.00%,50.00%
Greaves Cotton,219.83,-3.60%,227.61,"36,93,355","5,309.60",361.75,119.29,319.5,154.5,1.29%,3.05%,18.90%,45.68%,229.33%,3.78,0.88%,-21.94%,5.25%,7.96,214.64,218.24,54.38,61.79%,75.00%
AGI Greenpac,824.85,0.63%,820,"94,639","5,303.20",15.06,13.58,"1,307.90",599.1,-6.91%,-13.87%,-10.45%,159.75%,970.54%,2.39,0.85%,4.63%,18.58%,38.81,864.23,829.89,42.95,62.31%,80.00%
India Tourism Development Corporation,620.45,0.53%,617.05,"33,209","5,293.30",67.08,324.15,739.95,467.05,3.49%,7.60%,3.77%,80.97%,178.85%,14.58,0.47%,17.69%,26.26%,7.66,602.67,588.58,52.03,50.00%,-
Fedbank Financial Services,145.76,2.89%,144.5,"10,21,442","5,292.80",21.55,10.51,166.8,80,-5.96%,13.04%,41.36%,3.93%,3.93%,1.95,-,13.29%,10.24%,7.02,147.52,113.31,47.29,50.00%,60.00%
Responsive Industries,201.54,2.42%,197.31,"55,676","5,246.30",26.13,37.5,289.5,155.8,6.47%,-6.72%,-23.43%,44.16%,39.23%,3.89,0.05%,2.35%,15.72%,6.74,191.76,206.57,67.81,50.00%,-
PDS,378.65,2.27%,373.95,"2,35,363","5,233.50",28.1,42.65,659,289.95,19.39%,9.85%,-30.14%,16.92%,412.52%,3.07,0.46%,16.27%,20.32%,11,327.04,397.12,75.64,50.00%,-
Hindustan Construction Company,28.54,-,28.66,"57,66,784","5,192.80",31.38,-6.34,47.85,21.97,-0.14%,7.82%,-27.49%,113.94%,519.09%,5.74,-,-,34.46%,-,27.87,28.32,54.01,-,-
VST Tillers Tractors,"6,085.00",1.59%,"6,080.00","29,242","5,176.90",45.1,27.21,"6,127.00","3,082.00",11.15%,32.33%,33.30%,158.73%,264.72%,5.16,0.33%,11.20%,11.53%,127.95,"5,405.54","4,337.78",78.06,50.00%,-
Optiemus Infracom,586.25,0.41%,587.7,"1,22,147","5,150.10",78.3,42.65,812.4,378.45,-13.64%,-3.06%,-12.51%,160.09%,475.60%,7.58,-,-,12.85%,-,627.84,576.07,37.51,50.00%,-
Unimech Aerospace and Manufacturing,"1,012.40",0.24%,"1,016.70","25,428","5,136.50",62.77,-43.57,"1,523.75",850,2.28%,-9.46%,-26.44%,-26.44%,-26.44%,7.69,-,-,14.87%,-,"1,026.07","1,094.65",50.52,-,-
Sterling & Wilson Renewable Energy,238.7,8.53%,220.9,"2,34,77,739","5,135.20",-14,22.37,603.1,218.45,-2.94%,-13.44%,-59.14%,-17.02%,11.28%,10.92,-,488.96%,17.09%,-,251.29,282.91,50.39,50.00%,70.00%
KNR Constructions,181.2,-0.02%,182,"6,20,071","5,096.80",5.31,-6.34,358.85,180.4,-8.51%,-14.14%,-37.21%,-22.81%,47.80%,1.12,0.14%,15.99%,23.09%,27.64,194.89,223.73,31.03,66.95%,80.00%
Gujarat Themis Biosyn,464.1,-0.22%,465.1,"52,586","5,068.00",113.22,60.61,479,208,9.74%,24.66%,90.63%,90.63%,90.63%,20.31,0.14%,-,23.47%,-,411.14,-,66.73,50.00%,-
Gokul Agro Resources,167.75,-2.30%,173.1,"2,05,112","5,066.60",19.15,8.41,212.5,96.55,-17.03%,9.94%,23.05%,162.81%,2566.93%,4.89,-,17.27%,35.50%,11.16,180.81,149.15,40.97,50.00%,-
R Systems International,425.4,-0.49%,429.9,"50,389","5,061.10",26.15,19.14,522.9,283,2.79%,0.42%,-11.72%,84.68%,250.41%,8.1,2.93%,16.44%,20.91%,12.02,432.5,399.4,52.78,50.00%,-
Rallis,262.6,1.63%,258.4,"13,29,480","5,025.10",31.33,-23.88,385.9,196,-15.75%,-31.05%,-21.51%,12.73%,11.91%,2.96,0.98%,9.68%,12.75%,8.12,317.96,287.65,30.07,65.70%,80.00%
Zaggle Prepaid Ocean Services,372.4,-0.07%,374.5,"5,05,363","5,003.00",51.46,19.14,591.9,298.65,7.23%,-0.59%,-11.33%,135.18%,135.18%,4.01,-,-,9.99%,-,365.91,387.99,58.72,60.00%,60.00%
J Kumar Infraprojects,655,-0.60%,662,"1,30,938","4,986.00",12.3,-6.34,819,578,1.68%,-6.27%,-12.12%,155.66%,527.39%,1.67,0.60%,7.60%,20.31%,45.57,635.41,682.32,60.5,66.33%,80.00%
DCB Bank,159.35,0.89%,158.4,"22,40,354","4,977.90",7.57,9.4,164.5,101.41,20.90%,20.14%,32.78%,42.66%,97.70%,0.89,0.84%,10.57%,6.76%,17.25,132.84,128.92,73.55,69.95%,75.00%
PTC India,166.82,-0.75%,168.6,"10,43,328","4,975.30",4.83,42.65,207,127.69,-1.29%,-4.19%,-7.32%,132.18%,248.27%,0.86,6.96%,8.63%,17.05%,17.36,171.85,168.82,44.9,50.00%,65.00%
Jana Small Finance Bank,482.5,3.61%,465,"2,95,621","4,900.40",11.91,9.4,552.5,363.8,-0.62%,4.56%,8.83%,31.06%,31.06%,1.14,-,18.72%,7.25%,71.68,470.72,464.29,61.2,60.00%,75.00%
KRN Heat Exchanger and Refrigeration,803.05,2.01%,788.2,"1,77,176","4,893.00",91.77,-43.57,"1,012.00",446,-3.09%,-6.15%,78.36%,67.72%,67.72%,9.81,-,-,15.51%,-,852.18,836.01,40.46,50.00%,75.00%
