Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Cigniti Technologies,"1,728.50",0.62%,"1,720.00","35,766","4,716.60",16.51,19.14,"1,970.00","1,033.25",13.28%,5.00%,22.72%,190.04%,282.75%,4.18,-,28.56%,27.78%,53.61,"1,636.03","1,551.26",61.45,67.99%,75.00%
SIS,333.1,-0.06%,330,"54,129","4,698.30",115.8,25.16,405.5,287.9,-2.97%,-11.95%,-15.82%,-19.07%,-13.09%,1.95,-,7.87%,6.31%,11.43,346.45,345.43,40.68,50.00%,-
TARC,161.83,1.65%,156,"18,89,201","4,698.20",-32.26,-6.34,243.12,103.22,0.75%,-10.10%,-30.06%,272.45%,633.92%,4.53,-,-,-6.50%,-,156.91,155.65,63.22,50.00%,-
Johnson Controls Hitachi AC,"1,725.80",0.28%,"1,714.10","9,709","4,679.30",123.63,65.72,"2,089.00","1,600.65",-0.27%,-1.06%,-10.84%,44.17%,-18.49%,7.32,0.87%,-12.46%,12.11%,10.14,"1,733.72","1,735.07",49.17,50.00%,75.00%
Lumax Industries,"5,049.20",1.17%,"4,989.00","9,219","4,665.50",32.89,80.72,"5,358.00","1,960.00",-4.84%,31.33%,102.48%,233.65%,297.94%,6.03,0.70%,17.66%,20.40%,130.57,"4,612.47","3,265.79",56.95,50.00%,-
Pace Digitek,218.56,1.57%,216.79,"26,18,973","4,644.90",16.35,22.37,231.95,202.2,0.26%,0.26%,0.26%,0.26%,0.26%,2.34,-,-,38.43%,-,-,-,50.43,-,75.00%
The Anup Engineering,"2,359.40",2.26%,"2,308.30","23,044","4,620.50",38.24,-43.57,"3,859.40","2,206.40",1.47%,-11.41%,-28.71%,455.22%,757.50%,7.53,0.74%,11.75%,22.91%,36.97,"2,331.59","2,748.18",51.72,50.00%,65.00%
National Fertilizers,94.42,1.04%,93.5,"7,66,644","4,584.50",29.96,34.91,129.7,71,-1.06%,-0.88%,-13.20%,84.23%,195.52%,1.69,1.67%,18.03%,9.94%,3.06,95.78,94.14,49.37,63.60%,75.00%
Zota Healthcare,"1,575.10",4.24%,"1,518.00","77,567","4,581.00",-74.14,54.8,"1,627.70",535,4.46%,29.31%,159.43%,475.17%,1043.03%,14.53,0.06%,-7.18%,-13.84%,-,"1,446.21","1,095.56",57.87,60.00%,-
Dishman Carbogen Amcis,292.2,0.14%,292,"1,42,735","4,574.90",43.87,54.8,321.95,177,2.87%,16.76%,59.08%,190.17%,105.41%,0.78,-,-,2.21%,-,282.22,246.68,54.17,-,-
Samhi Hotels,202.68,-1.86%,206.87,"10,30,764","4,568.60",24.32,324.15,254.5,121.1,0.66%,-7.08%,10.80%,41.34%,41.34%,3.99,-,41.92%,8.72%,-,205.17,192.27,51.17,50.00%,65.00%
Balaji Amines,"1,413.20",0.29%,"1,410.10","38,795","4,565.60",30.52,25.14,"2,169.00","1,127.55",-0.32%,-9.71%,-33.06%,-54.12%,75.36%,2.47,0.78%,12.27%,10.22%,60.31,"1,445.21","1,483.13",50.09,50.00%,75.00%
Avantel,169.1,-1.43%,171.99,"15,31,129","4,545.60",135.08,26.87,215,95.13,-16.41%,28.86%,5.06%,-12.93%,-12.93%,14.05,0.11%,32.02%,32.29%,2.13,176.92,141.27,41.58,60.00%,60.00%
LG Balakrishnan & Bros,"1,615.00",13.90%,"1,550.90","24,06,758","4,522.00",14.89,80.72,"1,600.00","1,081.00",14.56%,28.52%,19.65%,120.99%,535.33%,2.38,1.41%,16.52%,20.12%,85.6,"1,367.33","1,284.05",82.97,50.00%,-
Bannari Amman Sugars,"3,600.00",-0.01%,"3,602.10",119,"4,514.80",39.64,18.94,"4,444.00","3,000.30",1.75%,-4.22%,2.78%,27.08%,176.92%,2.53,0.35%,9.24%,9.25%,115.74,"3,592.79","3,739.91",58.22,50.00%,-
Bharat Rasayan,"10,721.00",-1.20%,"10,850.00","5,326","4,508.90",32.82,-23.88,"12,300.00","8,798.50",6.93%,-1.47%,-4.05%,-2.65%,24.74%,3.99,0.01%,13.95%,16.54%,316.55,"10,191.24","10,182.69",55.1,50.00%,-
Suven Life Sciences,204.72,3.63%,198.37,"1,91,604","4,493.80",-24.38,25.16,299.99,102.5,-1.87%,-23.84%,60.82%,229.40%,344.08%,19.27,-,-,-143.87%,-,211.36,188.43,51.43,-,-
Rain Industries,138.83,3.98%,133.2,"16,62,895","4,490.90",-14,25.16,197,117.06,4.41%,-10.68%,-14.51%,-18.60%,35.38%,0.64,0.75%,-10.25%,4.80%,-,134.89,141.66,62.01,68.14%,75.00%
Vaibhav Global,281.25,4.49%,270,"24,32,297","4,490.50",24.54,39.24,338.55,195,24.65%,23.14%,-0.92%,-18.84%,-25.91%,3.11,0.55%,10.07%,14.79%,7.91,231.92,238.19,75.64,50.00%,75.00%
Route Mobile,723.85,1.63%,714,"2,75,065","4,487.00",14.41,19.14,"1,542.00",710.65,-8.90%,-17.57%,-51.86%,-45.74%,-30.54%,1.85,1.54%,17.91%,18.45%,55.29,805.62,961.36,34.19,60.00%,75.00%
Aarti Drugs,503.45,2.51%,491.1,"1,15,164","4,482.30",23.89,60.61,564.05,312,2.41%,2.10%,4.04%,8.42%,-21.99%,3.29,0.20%,13.95%,14.25%,17.06,497.48,443.16,51.07,50.00%,75.00%
Indiqube Spaces,214.26,0.45%,212.02,"51,187","4,479.50",-32.07,25.16,243.8,195.4,-8.18%,0.76%,-1.70%,-1.70%,-1.70%,6.94,-,-,4.46%,-,226.71,-,37.39,-,70.00%
Heritage Foods,485.25,0.68%,483,"1,63,719","4,472.30",25.9,20.33,540,352.1,-2.88%,2.03%,-6.09%,202.71%,224.32%,4.29,0.52%,13.18%,23.16%,15.97,487.85,443.82,48.3,50.00%,75.00%
Orient Electric,213.52,2.23%,212.33,"1,10,506","4,456.40",50.44,63.33,262.08,177.21,7.24%,0.21%,-12.15%,-20.52%,-1.08%,6.25,0.72%,11.78%,17.73%,2.59,206.17,217.78,62.15,50.00%,-
NIIT Learning Systems,321.8,-0.98%,323,"53,175","4,454.80",20.56,46.84,520,308.6,-3.78%,0.69%,-25.92%,-15.98%,-15.98%,3.68,0.92%,24.95%,23.37%,16.45,330.12,370.74,40.46,68.11%,-
Heidelberg Cement,195.38,-0.55%,196.9,"58,835","4,452.00",34.6,36.01,242.78,182.42,-2.76%,-8.35%,-14.34%,-5.27%,5.01%,3.4,3.56%,6.79%,10.85%,6.85,205.09,203.99,41.66,72.17%,70.00%
Enviro Infra Engineers,251.75,-0.58%,254.15,"6,46,888","4,444.90",23.45,22.37,391.6,182,-0.90%,-0.55%,21.58%,21.58%,21.58%,4.47,-,-,25.25%,-,250.52,238.09,54.64,63.13%,70.00%
VST Industries,259.45,-0.69%,261.25,"2,65,202","4,437.60",14.58,21.6,373,242.05,-1.07%,-8.00%,-24.23%,-18.07%,-16.38%,3.5,5.22%,24.08%,27.46%,175.81,263.99,282.51,48.71,67.25%,80.00%
Orient Cement,218.16,1.73%,223.99,"24,47,324","4,406.30",16.95,60.26,362.4,211.24,-2.92%,-11.24%,-36.45%,71.58%,252.72%,2.44,0.23%,10.03%,7.35%,8.52,222.41,289.17,49.24,65.71%,75.00%
Ramky Infrastructure,627.35,-1.32%,634.9,"88,147","4,399.20",20.33,-6.34,705,402.25,8.82%,9.36%,-0.41%,119.16%,2085.89%,2.31,-,74.45%,17.11%,39.6,600.59,537.06,51.68,50.00%,-
Northern Arc Capital,284.2,4.43%,272.95,"24,04,393","4,397.00",15.37,10.51,290,141.47,-0.53%,25.29%,9.56%,-12.12%,-12.12%,1.28,-,-,9.75%,-,263.86,222.96,61.58,50.00%,75.00%
SML Isuzu,"3,187.30",5.00%,"3,187.30","54,571","4,393.00",31.05,604.33,"4,743.00","1,028.40",-1.65%,-9.33%,79.39%,333.50%,731.76%,9.9,0.59%,11.15%,36.43%,84.64,"3,472.34","2,350.83",51.72,36.00%,-
Sun Pharma Advanced Research Co,140.14,3.66%,135.19,"8,20,665","4,386.90",-14.68,25.16,241,109.3,6.08%,-5.70%,-31.68%,-42.96%,-16.81%,-20.2,-,-307.91%,862.23%,-,137.63,148.77,58.04,50.00%,75.00%
Ceigall India,249.8,-0.68%,251.5,"69,456","4,381.30",16.86,-6.34,383,235.95,-4.14%,-7.49%,-29.71%,-35.41%,-35.41%,2.39,-,33.57%,19.22%,17.06,261.13,264.73,40.47,70.00%,-
Gopal Snacks,352.95,0.47%,349,"47,466","4,378.00","-1,597.05",20.33,520,255.9,1.19%,-2.38%,-26.88%,-2.69%,-2.69%,10.82,0.28%,38.63%,7.28%,7.66,359.8,329.83,51.09,60.00%,-
SG Mart,334.95,-3.42%,343.2,"7,38,265","4,369.70",36.38,42.65,389.55,334,-8.23%,-6.46%,-6.46%,-6.46%,-6.46%,2.86,-,-,14.60%,-,-,-,41.6,-,-
Shreeji Shipping Global,272.2,2.15%,271,"13,28,465","4,341.30",30.62,25.16,275,222,12.75%,6.70%,6.70%,6.70%,6.70%,6.13,-,-,51.19%,-,-,-,69.19,-,60.00%
Jtekt,165.47,6.58%,156,"12,64,063","4,306.60",47.74,80.72,188.5,103.76,0.46%,31.36%,-0.74%,61.70%,113.70%,4.37,0.41%,11.87%,15.27%,3.07,157.27,140.24,58.62,50.00%,-
Awfis Space Solutions,601.4,0.22%,595,"1,41,079","4,291.30",57.09,25.16,810,545.5,1.91%,1.08%,-16.22%,42.60%,42.60%,9.32,-,-27.54%,11.51%,-,585.91,627.68,53.32,60.00%,65.00%
Ajmera Realty & Infra,"1,067.40",-0.44%,"1,072.10","1,20,342","4,219.70",31.68,-6.34,"1,224.90",681.55,5.52%,27.72%,17.88%,354.21%,1117.80%,3.5,0.42%,-,12.57%,-,997.71,908.62,62.22,50.00%,-
Gujarat Alkalies & Chemicals,562.45,-1.68%,572.05,"45,244","4,201.40",-122.13,25.14,894.2,483.6,0.15%,-3.00%,-33.77%,-36.38%,78.47%,0.74,2.76%,6.67%,-0.29%,-,573.51,596.81,48.56,67.59%,-
Kitex Garments,203.03,-3.12%,210,"8,92,783","4,180.90",32.6,47.97,767.7,147.01,8.01%,-3.41%,-68.47%,-0.21%,503.90%,4.05,0.24%,-,8.85%,-,195.16,221.4,52.16,-,-
Goodluck India,"1,264.30",0.68%,"1,265.00","68,762","4,173.80",24.5,22.42,"1,349.00",567.75,-2.51%,17.11%,35.04%,191.95%,3262.50%,3.12,0.31%,14.16%,19.32%,42.47,"1,202.63",960.89,55.04,50.00%,65.00%
GK Energy,215.56,4.94%,206.45,"17,01,001","4,166.30",31.25,22.37,239.6,155.16,22.10%,28.51%,28.51%,28.51%,28.51%,5.87,-,-,91.19%,-,-,-,63.57,-,75.00%
Styrenix Performance Materials,"2,416.50",2.01%,"2,391.00","24,976","4,165.70",18.46,22.29,"3,498.00","2,220.50",-1.98%,-15.74%,-2.17%,186.55%,365.34%,3.57,1.31%,3.89%,18.98%,114.79,"2,508.89","2,761.55",46.22,68.18%,80.00%
Midwest,"1,133.10",-1.57%,"1,150.00","1,08,102","4,162.80",31.25,25.16,"1,190.00","1,048.50",-0.65%,-0.65%,-0.65%,-0.65%,-0.65%,5.14,-,-,23.76%,-,-,-,-,-,-
Hubtown,306.45,2.42%,302.2,"3,03,849","4,133.10",33.83,-6.34,365.7,162.05,-0.10%,-10.00%,13.44%,495.63%,2964.50%,1.7,-,-,7.61%,-,319.81,257.95,48.69,36.00%,-
Pondy Oxides & Chemical,"1,356.50",-1.05%,"1,369.10","2,12,525","4,124.60",47.07,19.8,"1,506.00",490,8.99%,18.95%,37.49%,698.74%,698.74%,6.55,0.24%,28.56%,15.15%,32.3,"1,261.28",903.55,53.1,56.27%,-
Raymond Realty,623.45,0.88%,620,"1,84,513","4,114.30",50.11,-6.34,"1,050.00",564.5,4.40%,-10.26%,-35.67%,-35.67%,-35.67%,3.06,-,-,6.27%,-,622.34,-,49.05,-,-
Borosil,354.85,3.61%,344.95,"1,30,084","4,095.50",49.73,25.44,515.9,282.65,0.94%,10.32%,-21.21%,7.15%,205.56%,5.07,-,10.25%,13.18%,5.52,345.54,344.47,59.04,66.80%,-
NACL Industries,199.62,-1.48%,202.2,"1,68,152","4,081.30",-58.32,-23.88,339.45,49,-2.41%,-38.17%,274.94%,137.36%,414.48%,9.29,-,-,-10.13%,-,230.48,180.6,41.6,-,-
Share India Securities,188.68,0.89%,186.1,"5,90,449","4,067.50",13.12,10.51,333.2,127.5,35.70%,6.44%,-34.87%,-29.69%,870.08%,1.74,0.73%,32.47%,20.58%,21.9,156.55,178.53,59.83,50.00%,50.00%
Precision Wires India,225.18,-0.32%,226.5,"3,96,218","4,067.30",42.98,19.8,237.5,118,7.90%,28.10%,18.85%,248.95%,1253.25%,6.83,0.50%,8.75%,18.81%,4.4,193.45,169.03,68.34,50.00%,-
Marathon NextGen Realty,610.05,1.38%,602.1,"33,734","4,057.00",18.93,-6.34,769.45,352.05,1.57%,-11.23%,6.70%,208.50%,1037.09%,1.94,0.13%,14.22%,16.78%,32.51,616.04,572.64,49.86,50.00%,-
Sanathan Textiles,481.05,0.22%,475.1,"21,198","4,051.40",26.79,23.33,560.2,286.95,-3.91%,-4.05%,23.87%,23.87%,23.87%,2.24,-,-,8.21%,-,503.81,439.28,31.33,65.00%,-
Goldiam International,377.55,5.42%,358.05,"9,64,560","4,044.20",31.47,39.24,569,251.35,-3.19%,10.38%,9.85%,164.67%,1158.50%,4.3,0.79%,14.39%,22.56%,8.96,376.54,382.99,56.22,50.00%,70.00%
Medi Assist Healthcare,571.15,0.31%,569.4,"96,156","4,022.80",44.52,25.16,634.85,415.25,8.23%,5.80%,-8.80%,23.07%,23.07%,6.04,-,19.63%,18.67%,12.98,536.19,510.49,62.89,50.00%,65.00%
RPG Life Sciences,"2,441.00",1.54%,"2,413.50","5,554","3,975.80",18.48,54.8,"2,744.80","1,835.00",7.55%,3.88%,-5.21%,177.31%,614.68%,7.19,1.00%,23.39%,43.40%,55.82,"2,349.62","2,289.15",60.43,50.00%,-
Kirloskar Industries,"3,762.90",-0.87%,"3,795.90","5,603","3,954.50",11.83,10.51,"5,077.45","2,810.80",-9.56%,-11.35%,-20.86%,114.50%,545.44%,0.63,0.34%,9.33%,6.09%,216.89,"3,906.80","3,739.67",36.3,50.00%,-
Hemisphere Properties,138.95,0.21%,138.5,"2,30,115","3,951.80",-408.38,-6.34,190.69,111.03,-24.48%,10.72%,-22.14%,43.40%,105.40%,8.99,-,-1.77%,-0.70%,-,155.11,140.07,36.69,50.00%,55.00%
HLE Glascoat,645,12.43%,578,"43,53,232","3,916.40",52.68,-43.57,585.45,217.83,38.37%,48.43%,69.18%,-4.22%,66.83%,8.76,0.19%,21.36%,15.35%,4.29,521.95,389.27,75.33,50.00%,-
Restaurant Brand Asia (Burger King),67.68,0.67%,67.9,"20,20,395","3,914.10",-17.43,324.15,93.5,59.4,-14.21%,-17.04%,-25.90%,-44.07%,-49.87%,4.3,-,-28.58%,-2.68%,-,76.89,76.44,32.16,68.43%,75.00%
Ujaas Energy,123.11,5.00%,111.38,"9,675","3,909.10",521.96,7.39,129.9,72.27,20.84%,19.76%,0.71%,25547.92%,21125.86%,46.82,-,-,10.83%,-,104.01,58.24,58.84,-,-
UFLEX,540.15,-0.20%,540.05,"19,856","3,908.40",13.07,13.58,685.6,438,-2.42%,-6.50%,-4.97%,-20.94%,68.59%,0.53,0.55%,6.41%,7.29%,30.75,547.57,544.96,40.14,50.00%,-
Swan Defence & Heavy Industries,773.25,5.00%,773.25,"6,619","3,879.80",-25.28,25.16,736.45,37.8,21.54%,129.01%,1945.63%,1945.63%,1945.63%,13.78,-,-,-6.18%,-,296.62,-,100,-,-
Lux Industries,"1,269.70",-0.54%,"1,277.40","19,142","3,839.00",24.84,2.96,"2,174.00","1,211.00",-2.78%,-5.77%,-32.94%,-26.64%,-8.16%,2.22,0.16%,9.54%,13.74%,43.07,"1,306.70","1,406.09",39.81,50.00%,75.00%
Trualt Bioenergy,435.4,-2.40%,446.4,"2,55,393","3,825.40",26.17,25.16,549,439.25,-18.00%,-18.00%,-18.00%,-18.00%,-18.00%,2.53,-,-,15.29%,-,-,-,27.11,-,75.00%
Raymond,575.4,0.24%,576.8,"1,62,871","3,821.70",0.69,0.62,"1,908.00",408.11,-2.19%,-10.00%,-65.90%,125.51%,943.15%,1.03,-,-,3.06%,-,598.69,571.56,43.83,55.00%,75.00%
Vadilal Industries,"5,329.00",0.30%,"5,313.00","1,784","3,818.90",27.25,20.33,"7,398.50","3,414.05",-2.93%,1.72%,38.52%,145.55%,572.13%,6.15,0.40%,24.22%,24.02%,211.89,"5,377.14","5,176.70",45.85,0.00%,-
GNG Electronics,335.8,0.25%,340.85,"3,12,342","3,818.80",55.31,42.65,401.7,300,-4.95%,10.03%,0.72%,0.72%,0.72%,6.09,-,-,38.19%,-,345.78,-,50.93,-,70.00%
Greenply Industries,305.95,0.15%,301.2,"51,752","3,815.10",43.92,25.16,374.95,245.1,2.07%,-3.29%,-8.44%,76.65%,284.36%,4.73,0.16%,14.20%,13.25%,7.87,305.25,299.57,53.65,50.00%,-
MSTC,553.1,2.21%,540.2,"8,10,809","3,809.70",8.96,42.65,809.75,411.1,5.77%,16.42%,-14.11%,107.66%,278.19%,5.16,7.48%,30.76%,66.07%,30.63,513.73,522.49,59.46,62.85%,75.00%
Neogen Chemicals,"1,471.20",1.98%,"1,442.60","29,171","3,805.80",113.06,25.14,"2,420.00","1,390.00",-2.00%,1.74%,-32.68%,-1.85%,138.29%,4.82,0.07%,10.36%,9.73%,14.17,"1,498.43","1,623.13",47.21,50.00%,-
Bajaj Consumer Care,286.1,3.21%,279.4,"18,64,739","3,799.00",31.33,16.79,279,151,19.54%,28.90%,27.17%,81.13%,52.30%,5.28,-,18.71%,20.30%,10.25,247.3,201.93,73.42,50.00%,75.00%
Kolte Patil Developers,443.2,3.84%,427,"1,63,552","3,784.90",43.94,-6.34,497.55,239,2.23%,7.09%,22.40%,33.41%,162.33%,3.03,-,-9.17%,24.33%,-,446.1,386.69,55.11,65.97%,70.00%
Kalyani Steels,883.7,2.11%,865.4,"65,859","3,777.70",14.19,22.42,"1,277.00",666.5,12.62%,0.53%,11.00%,198.35%,322.02%,1.99,1.16%,14.81%,18.78%,56.59,821.61,827.58,70.59,63.99%,-
Jamna Auto Industries,94.01,-0.58%,94.6,"3,32,495","3,772.80",21.01,80.72,114.34,68.57,-7.36%,3.54%,-14.49%,-15.50%,102.83%,3.8,2.22%,21.47%,25.24%,5.15,101.42,89.97,38.05,50.00%,65.00%
Shanthi Gears,479.3,-2.33%,487,"38,760","3,764.80",40.78,-43.57,619.8,399,-8.50%,-11.22%,-13.54%,24.70%,379.30%,8.78,1.01%,23.82%,32.21%,11.18,538.84,502.87,30.56,50.00%,-
Parag Milk Foods,320,2.71%,312,"9,62,968","3,719.20",32.75,20.33,324.45,135.49,13.48%,33.44%,62.43%,200.47%,209.03%,3.58,0.31%,6.59%,17.07%,8.08,275.96,215.66,67.12,63.20%,75.00%
MPS,"2,196.70",1.10%,"2,168.90","5,496","3,716.80",23.5,19.14,"3,079.00","1,754.20",0.43%,-4.61%,3.75%,208.61%,516.96%,7.78,3.82%,25.83%,37.62%,66.85,"2,220.07","2,449.27",44.93,50.00%,-
Centum Electronics,"2,464.80",-1.91%,"2,530.00","18,512","3,695.60",575.16,44.1,"3,044.00","1,140.30",0.23%,13.81%,35.60%,284.34%,806.34%,9.08,0.24%,-1.40%,10.24%,-,"2,665.22","2,112.09",41.76,0.00%,-
Nalwa Sons Investments,"6,949.00",-3.41%,"7,194.00","11,046","3,695.00",87.13,10.51,"9,974.00","4,600.00",-12.26%,4.54%,8.22%,186.51%,825.73%,0.22,-,-,0.34%,-,"7,415.31","6,760.30",32.35,-,-
Jubilant Agri & Consumer Products,"2,460.00",0.47%,"2,489.00","1,049","3,689.20",35.15,25.14,"3,013.40","1,020.00",5.16%,11.08%,62.87%,62.87%,62.87%,11.46,-,-,35.34%,-,"2,527.10",-,54.01,-,-
Orchid Pharma,770.35,6.06%,715,"7,06,726","3,683.70",43.21,54.8,"1,997.40",603.8,3.54%,-3.79%,-44.57%,90.02%,4179.72%,3.07,-,8.13%,7.85%,21.99,731.49,847.63,64,50.00%,-
Camlin Fine Sciences,199.95,2.07%,195,"2,76,316","3,682.50",-27.41,25.14,333.3,103.62,2.87%,-26.65%,89.17%,28.67%,112.85%,4.09,-,-,12.68%,-,206.48,204.41,49.8,-,-
PSP Projects,972.15,4.67%,930,"10,12,936","3,681.90",131.15,-6.34,949.85,595.95,26.94%,41.96%,59.77%,63.22%,145.18%,3.01,-,16.81%,10.09%,30.22,774.73,697.42,73.77,70.00%,75.00%
Jain Irrigation Systems,51.08,-0.78%,51.44,"10,09,850","3,678.80",69.65,37.5,83.4,45.1,-4.11%,2.26%,-21.46%,41.89%,259.72%,0.63,-,1.63%,6.53%,1.07,52.31,57.11,48.87,50.00%,65.00%
Sindhu Trade Links,23.74,-0.29%,23.7,"2,12,095","3,671.30",52.89,25.16,39.29,13,-15.88%,-10.25%,6.22%,0.38%,0.38%,2.28,-,-0.19%,11.40%,0.73,25.85,22.85,33.58,50.00%,-
63 Moons Technologies,789.4,-0.82%,791,"1,19,948","3,667.60",-61.76,19.14,"1,130.00",550.65,-8.35%,-20.62%,35.68%,401.52%,980.63%,1.07,0.15%,-0.71%,-1.58%,37.88,875.75,841.12,35.96,50.00%,-
Navneet Education,160.32,-0.82%,161.62,"1,75,499","3,656.50",16.92,-199.41,168.5,127.51,-1.21%,6.88%,13.22%,13.06%,111.36%,1.99,1.82%,19.46%,47.59%,6.7,157.31,145.36,52.87,50.00%,-
Jindal Worldwide,36.47,0.08%,36.38,"2,71,915","3,653.50",48.49,47.97,94.24,33.89,0.86%,-8.32%,-39.20%,-41.03%,260.73%,4.62,-,17.80%,16.99%,3.99,36.79,55.36,46.04,50.00%,-
Foseco,"5,676.00",-0.56%,"5,708.00",793,"3,645.40",44.28,25.14,"6,846.00","3,205.00",1.41%,8.04%,24.27%,182.46%,389.39%,9.81,0.44%,25.46%,28.55%,101.93,"5,901.78","4,611.19",48.09,50.00%,-
Standard Glass Lining Technology,182.38,0.12%,184,"2,04,804","3,633.90",48.9,-43.57,213.8,124,-1.91%,-2.60%,11.70%,11.70%,11.70%,5.15,-,-,14.69%,-,182.65,167.05,52.7,-,-
Harsha Engineers,401.05,0.53%,400,"17,115","3,632.20",39.73,80.72,560,329.95,0.61%,-5.20%,-19.17%,-7.98%,-17.56%,2.89,0.25%,11.50%,10.49%,13.5,402.63,398.63,52.5,50.00%,-
Wonderla Holidays,577.7,0.94%,572.3,"46,406","3,629.30",36.73,21.92,947.4,552.5,-2.69%,-7.08%,-33.06%,67.52%,263.10%,2.1,0.35%,14.43%,6.39%,24.17,608.04,649.28,44.19,50.00%,-
Utkarsh Small Finance Bank,20.23,-0.69%,20.37,"52,06,435","3,624.90",-10.31,9.4,36.49,16.89,7.43%,18.10%,-42.13%,-50.36%,-50.36%,0.93,-,16.74%,6.29%,4.79,18.63,20.3,57.09,50.00%,-
Network People Services Tech,"1,766.00",-4.89%,"1,884.70","30,179","3,600.30",98.66,19.14,"3,459.00","1,505.00",-12.16%,-25.09%,-41.37%,1462.83%,2217.59%,34.72,-,-,55.34%,-,"2,001.33","2,065.27",35.28,60.00%,-
Raghav Productivity Enhancers,876.15,12.09%,793.25,"21,65,863","3,588.70",79.07,35.82,889.5,449.5,26.03%,41.17%,32.23%,78.43%,78.43%,18.55,0.13%,16.42%,23.84%,12.42,676.79,637.59,81.76,60.00%,-
Cyient DLM,459.45,1.68%,451.9,"1,08,287","3,586.10",43.94,44.1,744.25,378.6,5.22%,4.15%,-27.41%,9.24%,9.24%,3.64,-,6.73%,11.14%,8.38,450.5,457.83,52.78,50.00%,70.00%
Quess Corp,235.42,-1.81%,240.09,"2,04,178","3,574.30",72.77,30.52,752,231.85,-8.45%,-18.85%,-29.23%,-56.95%,-41.59%,3.29,4.17%,-,5.74%,-,255.24,293.31,40,67.18%,-
Madhya Bharat Agro,408.5,0.41%,410,"60,686","3,565.10",39.27,34.91,469.7,205.01,3.46%,-7.47%,80.54%,-10.54%,1217.74%,7.78,0.12%,37.82%,20.64%,3.32,421.19,354.31,43.38,50.00%,-
Pitti Engineering,943,-0.38%,940,"37,892","3,564.10",28.37,-43.57,"1,512.40",838,-5.23%,1.82%,-28.28%,244.79%,2352.54%,3.97,0.16%,17.61%,17.57%,25.43,950.79,989.5,47.47,50.00%,-
Senores Pharmaceuticals,773.65,0.32%,771.2,"2,23,315","3,551.70",51.66,26.33,790,435.25,6.24%,11.08%,38.88%,38.88%,38.88%,4.51,-,-,9.34%,-,720.53,601.78,62.19,65.00%,70.00%
Premier Explosives,658.5,-0.25%,665,"5,23,095","3,549.00",96.44,25.14,684,309.15,8.74%,49.51%,47.79%,668.92%,2626.71%,14.43,0.02%,-,17.42%,-,587.9,492.02,60.89,50.00%,-
Rossari Biotech,644.9,0.62%,644,"17,699","3,548.70",25.97,25.14,884.7,569,0.02%,-6.57%,-19.16%,-28.14%,-17.10%,2.84,0.08%,12.47%,14.93%,24.68,641,669.86,48.07,50.00%,-
Magellanic Cloud,58.81,-3.08%,60.68,"18,13,052","3,546.10",34.17,19.14,105.42,42.49,-23.04%,-30.91%,-22.52%,-22.52%,-22.52%,6.94,0.05%,-,25.56%,-,73.87,-,34.28,36.00%,-
Prince Pipes & Fittings,323.55,1.06%,320.95,"1,55,749","3,539.60",151.56,37.5,506.6,229.05,-5.10%,-4.23%,-31.51%,-41.54%,38.09%,2.24,0.16%,8.90%,4.00%,15.73,329.26,317.13,49.03,50.00%,70.00%
Interarch Building Solutions,"2,203.70",4.78%,"2,124.30","1,18,468","3,527.30",30.42,22.42,"2,400.00","1,264.00",14.23%,0.55%,30.37%,84.30%,84.30%,4.73,0.59%,-,19.05%,-,"2,036.09","1,889.46",70.99,-,-
Pennar Industries,270.9,3.64%,260,"13,75,812","3,527.20",28.26,22.42,269.2,135.65,11.00%,16.64%,36.39%,367.47%,1587.85%,3.54,-,9.68%,21.78%,7.63,245.25,211.45,71.08,50.00%,75.00%
Mahindra Logistic,340.65,-3.83%,351.3,"2,69,591","3,513.00",-115.42,25.16,388.4,217.38,-3.39%,5.94%,-9.54%,-32.27%,2.66%,3.06,0.51%,-10.33%,6.09%,-,344.02,308.5,42.97,68.66%,70.00%
Steel Strips Wheels,230.1,3.39%,223,"4,15,398","3,498.10",17.35,80.72,280,167.41,0.22%,3.43%,12.16%,41.66%,373.75%,2.27,0.56%,17.08%,18.55%,14.49,227.56,217.41,55.05,50.00%,-
Greenpanel Industries,279.9,-1.76%,284.9,"1,92,013","3,493.70",24.45,25.16,418.8,202.81,-6.40%,2.32%,-25.06%,-23.46%,249.00%,2.65,0.11%,10.83%,11.59%,11.65,289.59,279.24,40.27,50.00%,-
Stylam Industries,"2,109.00",2.54%,"2,065.90","66,020","3,485.90",28.53,25.16,"2,661.90","1,464.25",22.72%,15.22%,-8.27%,97.65%,64.91%,5.29,-,23.29%,25.15%,76.61,"1,806.57","1,747.64",67.32,50.00%,60.00%
Go Colors,639.3,-0.77%,649.2,"1,25,235","3,479.50",40.02,47.97,"1,252.00",642.3,-9.08%,-11.01%,-45.21%,-54.07%,-49.01%,5,-,9.44%,15.67%,15.77,695.74,787.97,31.83,50.00%,-
