MPG City,Weight (000 lbs),Gallons / (100 miles),Weight,Model
26,2.195,3.84615385,2195,2003 Toyota MR-2 Spyder Convertible Current
21,3.417,4.76190476,3417,2003 Toyota Avalon XL Current
32,2.535,3.125,2535,2004 Toyota Corolla CE Current
29,2.7175,3.44827586,2717.5,2004 Toyota Matrix Standard 4X2 Current
25,2.744,4,2744,2003 Toyota RAV4 4-Door 4X2 Current
22,3.485,4.54545455,3485,2003 Toyota Highlander Sport Utility 4X2 Current
18,4.025,5.55555556,4025,2003 Toyota 4Runner SR5 4X2 Current
14,5.07,7.14285714,5070,2003 Toyota Sequoia SR5 4X2 Current
13,5.39,7.69230769,5390,2003 Toyota Land Cruiser 4X4 Current
19,3.919,5.26315789,3919,2003 Toyota Sienna CE Current
22,2.76,4.54545455,2760,2003 Toyota Truck Tacoma 4X2 Regular Cab Current
24,2.7985,4.16666667,2798.5,2003 Volkswagen Golf GL 2.0 Current
24,2.839,4.16666667,2839,2003 Volkswagen New Beetle GL 2.0L Current
24,2.9185,4.16666667,2918.5,2003 Volkswagen Jetta Sedan GL 2.0 Current
24,2.9915,4.16666667,2991.5,2003 Volkswagen GTI 1.8T Current
22,3.267,4.54545455,3267,2003 Volkswagen Passat GL Sedan Current
17,4.288,5.88235294,4288,2003 Volkswagen Eurovan GLS Current
15,5.086,6.66666667,5086,2004 Volkswagen Touareg V6 Current
22,2.767,4.54545455,2767,2004 Volvo S40 Sedan Current
22,2.822,4.54545455,2822,2004 Volvo V40 Wagon Current
22,3.276,4.54545455,3276,2004 Volvo S60 2.4 Current
22,3.488,4.54545455,3488,2004 Volvo V70 2.4 Current
19,3.699,5.26315789,3699,2004 Volvo XC70 Cross Country Current
20,3.583,5,3583,2004 Volvo S80 2.9 Current
18,3.45,5.55555556,3450,2004 Volvo C70 LPT Current
18,4.354,5.55555556,4354,2004 Volvo XC90 2.5T Current
